Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0042761~very long-chain fatty acid biosynthetic process	6	1.36986301369863	1.1901107651206017E-5	ELOVL1, ELOVL5, ELOVL2, TECR, ELOVL3, ELOVL6	407	10	11449	16.87813267813268	0.02703621168147985	0.0014425395221435505	0.0014212428031887606
GOTERM_BP_DIRECT	GO:0010888~negative regulation of lipid storage	7	1.5981735159817352	1.7009231052154557E-5	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	17	11449	11.583032230091055	0.03841526726044575	0.0019586129556555974	0.0019296972628669346
KEGG_PATHWAY	mmu00983:Drug metabolism - other enzymes	15	3.4246575342465753	1.7508048532936373E-5	RRM2, TPMT, UGT2B1, GSTP3, UGT2B38, GSTP1, UGT2B37, CES2B, CES2C, CES2E, CES2G, UGT1A5, TK1, GUSB, GSTM6	257	81	5496	3.960224816255945	0.005273522842402678	0.001057486131389357	0.0010154668149103096
UP_KW_CELLULAR_COMPONENT	KW-0492~Microsome	16	3.65296803652968	2.076838714402069E-5	CYP4A12A, CYP4A12B, SRD5A1, CYP7B1, CLU, TM7SF2, GULO, CES2C, CYP2D9, CYP2D11, CYP2C23, CES2E, CYP2U1, CYP2D40, CYP1A2, SCD1	375	118	10380	3.7532203389830507	9.548995222660173E-4	4.7767290431247587E-4	4.2575193645242416E-4
GOTERM_BP_DIRECT	GO:0019367~fatty acid elongation, saturated fatty acid	5	1.141552511415525	2.2088888373067966E-5	ELOVL1, ELOVL5, ELOVL2, ELOVL3, ELOVL6	407	6	11449	23.44185094185094	0.04959899390262579	0.002422414758246454	0.0023866517961186294
GOTERM_BP_DIRECT	GO:0160257~complement activation, GZMK pathway	6	1.36986301369863	3.52602987793651E-5	C4A, C8G, C6, C9, C8B, C2	407	12	11449	14.065110565110567	0.07799616847700352	0.0036911121858580827	0.003636618996835428
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	23	5.251141552511415	4.479795870226703E-5	RRM2, AKR1B1, COX7A2, PTGR1, PRDX3, GULO, QDPR, LDHB, FADS2, DHRS7, CYP2D9, CYP2D11, CYB5R3, RDH11, FASN, CYP2D40, CYP1A2, ME1, SC5D, PYROXD2, SCD1, FADS1, PAOX	415	234	11355	2.6893728761198643	0.037708163073688294	0.006406108094424186	0.006279180544767762
GOTERM_BP_DIRECT	GO:0098754~detoxification	5	1.141552511415525	5.0095756336243954E-5	CES2B, CES2C, CES2E, CES2G, ABCG2	407	7	11449	20.09301509301509	0.10896664498187936	0.004807105285098742	0.004736136296955731
GOTERM_BP_DIRECT	GO:0035338~long-chain fatty-acyl-CoA biosynthetic process	5	1.141552511415525	5.0095756336243954E-5	ELOVL1, ELOVL5, ELOVL3, ACSL5, ELOVL6	407	7	11449	20.09301509301509	0.10896664498187936	0.004807105285098742	0.004736136296955731
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	11	2.5114155251141552	5.2089090673289713E-5	CYP27A1, CYP4A12A, CYP2D9, CYP4A12B, CYP2D11, CYP2C23, CYP2U1, CYP1A2, CYP2D40, PYROXD2, CYP7B1	48	71	1445	4.664025821596244	8.851456323569762E-4	8.334254507726354E-4	8.334254507726354E-4
GOTERM_BP_DIRECT	GO:0033490~cholesterol biosynthetic process via lathosterol	7	1.5981735159817352	6.609474386131591E-5	FDPS, PMVK, SC5D, DHCR7, LSS, ACAT2, TM7SF2	407	21	11449	9.376740376740377	0.1412017285067313	0.006088647804504421	0.0059987589528530325
GOTERM_BP_DIRECT	GO:0006695~cholesterol biosynthetic process	8	1.82648401826484	8.415781256231637E-5	FDPS, CYB5R3, PMVK, G6PDX, SC5D, DHCR7, LSS, TM7SF2	407	31	11449	7.259411904573195	0.1761967882861224	0.007454440089654408	0.007344387565534456
GOTERM_BP_DIRECT	GO:0007611~learning or memory	9	2.054794520547945	1.1370837106096914E-4	GPI1, PRNP, MME, GM2A, CASP3, DBI, SLC2A4, COMT, TTBK1	407	43	11449	5.88772070167419	0.230400683772778	0.009698902909385626	0.009555714590271814
